,loss,label,origin_mse_loss,target_mse_loss
0,0.008649393916130066,1,0.009129783138632774,0.008596017956733704
1,0.08689133077859879,-1,0.12268268316984177,0.11017733812332153
2,0.08661960810422897,-1,0.08639901876449585,0.10584390163421631
3,0.014520767144858837,-1,0.016202112659811974,0.017934421077370644
4,0.06376425921916962,-1,0.06463887542486191,0.0780312716960907
5,0.007584617007523775,1,0.007348192855715752,0.007610886823385954
6,0.2771244943141937,-1,0.34385281801223755,0.34612199664115906
7,0.045821040868759155,-1,0.04977632313966751,0.056442972272634506
8,0.01622479222714901,1,0.0161796472966671,0.01622980833053589
9,0.044403307139873505,-1,0.04927018657326698,0.054811473935842514
10,0.03262370452284813,-1,0.04045134037733078,0.0407431535422802
11,0.30747801065444946,-1,0.33066585659980774,0.37838292121887207
12,0.42556488513946533,-1,0.5203275680541992,0.5306640863418579
13,0.08980947732925415,-1,0.09681428968906403,0.11054544895887375
14,0.03977888450026512,-1,0.05217153578996658,0.049995601177215576
15,0.07604975998401642,-1,0.06250970810651779,0.09144525974988937
16,0.11824727058410645,1,0.12057822942733765,0.11798827350139618
17,0.027836842462420464,1,0.02655237540602684,0.027979562059044838
18,0.008981206454336643,1,0.009232576936483383,0.0089532770216465
19,0.2612723112106323,-1,0.21328270435333252,0.31400066614151
20,0.21981075406074524,-1,0.24322937428951263,0.2712596654891968
21,0.23296816647052765,1,0.22741484642028809,0.2335852086544037
22,0.007134501356631517,1,0.006452139467000961,0.007210319861769676
23,0.21647153794765472,1,0.20921020209789276,0.2172783613204956
24,0.5162256956100464,1,0.5298594236373901,0.5147108435630798
25,0.03655756264925003,1,0.03813334181904793,0.03638247773051262
26,0.45224472880363464,1,0.46115642786026,0.45125454664230347
27,0.24965016543865204,1,0.2610090970993042,0.24838806688785553
28,0.009458005428314209,-1,0.007935692556202412,0.01139063946902752
29,0.03554719313979149,1,0.0364142507314682,0.035450853407382965
30,0.042644746601581573,-1,0.04822966083884239,0.05274190381169319
31,0.02097190171480179,1,0.02067437395453453,0.02100495994091034
32,0.11274316906929016,-1,0.12138387560844421,0.13875728845596313
33,0.011639915406703949,1,0.011996213346719742,0.011600326746702194
34,0.15815912187099457,1,0.16259373724460602,0.1576663851737976
35,0.020363949239253998,-1,0.026873791590332985,0.025612588971853256
36,0.01040886715054512,1,0.01009040605276823,0.01044425182044506
37,0.012675872072577477,-1,0.01589331403374672,0.01585022732615471
38,0.24104857444763184,1,0.2318660020828247,0.24206887185573578
39,0.6583173871040344,1,0.6631864309310913,0.657776415348053
